,Name,City,StartPrice,DistanceFromCityCentre,OverallScore,RatingCategory,Atmosphere,Cleanliness,Facilities,Location,Security,Staff,ValueForMoney,Longitude,Latitude
62,Downtown Inn Kyoto,Kyoto,1000,1.4,9.3,Superb,8.9,9.7,9.7,9.1,9.1,8.6,9.7,135.75518200000002,35.0052769
63,Drop Inn Osaka,Osaka,2800,1.4,8.8,Fabulous,8.3,9.5,9.0,8.3,9.1,8.5,8.7,135.4886189,34.7001589
64,Edo Tokyo Hostel,Tokyo,1800,15.8,8.1,Fabulous,8.0,8.5,8.0,7.5,7.0,8.5,9.0,139.8638707,35.7129526
65,Emblem Hostel Nishiarai,Tokyo,2000,13.3,9.3,Superb,9.5,9.8,9.7,7.4,9.8,9.8,9.5,139.791216,35.7782
66,ENAKA Asakusa Central Hostel,Tokyo,2600,9.7,9.3,Superb,8.9,9.8,9.3,9.6,9.6,9.1,8.9,139.795301,35.7121845
67,Ezstay Osaka,Osaka,2000,4.6,3.1,Rating,2.0,2.0,2.0,4.0,6.0,2.0,4.0,135.535271,34.675731799999994
69,Family & bAKpAK Tokyo Hostel,Tokyo,1800,9.8,7.4,Very Good,6.5,6.5,7.5,7.5,8.5,6.5,9.0,139.79148,35.723690000000005
70,Friends Kyo,Kyoto,2200,1.2,10.0,Superb,10.0,10.0,10.0,10.0,10.0,10.0,10.0,135.7718,35.001371
72,Fukuoka Backpackers Hostel,Fukuoka-City,2300,2.5,8.3,Fabulous,7.5,8.6,8.0,8.2,8.8,8.9,8.1,130.42814199999998,33.584119
73,Fukuoka Hana Hostel,Fukuoka-City,2500,0.8,9.0,Superb,8.3,9.2,8.8,9.5,9.0,9.3,9.0,130.4097719,33.5926482
74,Funtoco Backpackers Namba,Osaka,2300,5.5,9.3,Superb,8.9,9.6,9.0,9.0,9.5,10.0,9.4,135.503623,34.656784
75,Gion Ryokan Q-beh,Kyoto,2800,1.5,9.5,Superb,9.0,9.8,9.5,9.8,9.3,9.5,9.6,135.77953630000002,35.001441799999995
76,Goen Lounge＆Stay,Osaka,2000,18.2,8.9,Fabulous,8.0,10.0,10.0,6.0,8.0,10.0,10.0,135.65051110000002,34.815565
77,Gojo Guest House,Kyoto,2000,1.9,9.5,Superb,9.6,9.5,8.8,9.6,9.3,10.0,9.8,135.7722097,34.99548789999999
78,Gojo Guesthouse - Annex,Kyoto,2500,1.7,9.6,Superb,8.7,10.0,9.3,9.3,10.0,10.0,10.0,135.775803,34.998209
79,Good Diner Inn Copain,Tokyo,3300,5.6,9.1,Superb,9.5,9.5,9.5,8.0,9.0,10.0,8.5,139.71825819999998,35.7346756
80,Grids Kyoto Shijo Kawaramachi Hotel & Hostel,Kyoto,1800,1.0,9.7,Superb,8.9,10.0,9.5,10.0,10.0,9.8,9.8,135.764823,35.004678000000006
81,GRIDS TOKYO AKIHABARA HOTEL&HOSTEL,Tokyo,2400,8.0,8.7,Fabulous,7.8,9.4,8.7,8.7,8.8,8.7,8.7,139.780326,35.696562
82,Grids Tokyo Asakusa-Bashi Hotel&Hostel,Tokyo,2200,8.3,9.0,Superb,7.9,9.6,9.0,8.7,9.5,9.5,8.9,139.780326,35.696562
83,GRIDS TOKYO NIHOMBASHI EAST HOTEL&HOSTEL,Tokyo,2400,8.3,8.3,Fabulous,6.7,9.3,8.7,9.3,9.3,7.3,7.3,139.783943,35.690286
84,Guest House Bola-Bola,Kyoto,2700,6.1,9.4,Superb,9.3,9.9,9.0,8.8,9.4,9.9,9.4,135.70156830000002,35.014774700000004
85,Guest House Com Inn Hiroshima,Hiroshima,2900,2.5,8.9,Fabulous,7.3,10.0,8.0,8.0,10.0,10.0,8.7,132.443757,34.405665
86,Guest House Denchi,Tokyo,3600,9.2,8.9,Fabulous,8.0,10.0,6.0,8.0,10.0,10.0,10.0,139.7895455,35.712826799999995
87,Guest House Ga-Jyun,Kyoto,2000,1.4,9.6,Superb,9.6,9.7,9.4,9.4,9.4,9.9,9.9,135.7833531,35.009131
88,Guest House Hachi,Kyoto,3200,3.2,10.0,Superb,10.0,10.0,10.0,10.0,10.0,10.0,10.0,135.7435285,34.9915805
89,Guest House Hitsuji-An,Kyoto,2200,1.3,9.8,Superb,9.5,10.0,9.5,10.0,10.0,10.0,9.5,135.75435,35.009679
91,Guest House Kaine,Fukuoka-City,2500,0.7,8.9,Fabulous,10.0,9.0,8.5,9.0,7.5,10.0,8.5,130.403731,33.596604
92,Guest House Kyoto Inn,Kyoto,1500,3.3,8.9,Fabulous,8.7,9.4,9.0,8.1,8.6,9.4,8.9,135.743165,34.990043
93,Guest House La Kongo,Osaka,2500,4.2,7.8,Very Good,6.0,8.0,7.5,9.0,8.0,8.5,7.5,135.50786680000002,34.6687802
94,Guest House Matsu,Osaka,1900,7.4,9.3,Superb,9.0,9.7,9.2,8.7,9.3,9.7,9.5,135.495148,34.640747
95,Guest House ODORI,Osaka,2800,7.9,8.6,Fabulous,10.0,10.0,8.0,6.0,8.0,8.0,10.0,135.5231371,34.637299799999994
96,Guest House Onoya,Osaka,2000,3.3,9.4,Superb,9.5,10.0,10.0,8.0,9.0,10.0,9.5,135.53764819999998,34.7025957
97,Guest House Renjishi Kabuki,Kyoto,1500,2.5,8.7,Fabulous,8.0,8.9,7.9,8.7,9.0,9.8,8.6,135.75051440000001,34.9949044
98,Guest House Roku,Hiroshima,2900,2.7,9.3,Superb,9.5,9.5,9.0,9.0,9.2,9.8,9.4,132.465716,34.4074787
99,Guest House Shinagawa-shuku Tokyo,Tokyo,3300,8.7,9.2,Superb,9.0,9.3,9.3,8.7,9.0,10.0,9.0,139.7403581,35.6217794
100,Guest House Shiori Ann,Kyoto,1500,2.0,8.9,Fabulous,6.0,8.0,10.0,9.0,10.0,9.0,10.0,135.759117,34.994889
102,Guest House Yahata,Kyoto,2500,2.0,8.6,Fabulous,7.5,9.5,8.5,8.0,9.8,8.5,8.5,135.754772,34.9976055
103,Guest House YULULU,Kyoto,1500,0.5,8.6,Fabulous,8.3,8.6,7.8,9.5,8.5,9.4,8.3,135.76263219999998,35.009886200000004
104,Guesthouse Fete,Tokyo,2300,9.7,9.4,Superb,9.8,9.2,8.9,8.8,9.5,9.9,9.4,139.7981,35.701440999999996
105,Guesthouse Fujitatami,Osaka,2200,26.6,9.1,Superb,9.8,9.8,9.3,6.8,9.0,9.8,9.3,135.4575132,34.4698056
106,Guesthouse Gloire,Osaka,2800,3.9,7.1,Very Good,8.0,8.0,8.0,4.0,6.0,8.0,8.0,135.511096,34.67197
107,Guesthouse HetoGep,Osaka,2500,4.5,9.1,Superb,9.2,8.4,9.2,10.0,8.8,9.6,8.8,135.5049204,34.666200399999994
108,Guesthouse Hiroshima Mange Tak,Hiroshima,2800,1.4,9.5,Superb,8.9,9.8,9.4,9.6,9.6,9.7,9.3,132.445801,34.3952854
109,Guesthouse Kagaribi,Tokyo,2200,11.8,8.3,Fabulous,8.0,8.8,8.0,6.8,8.0,9.6,8.8,139.7957726,35.7539265
110,Guesthouse Morizou Female only,Osaka,2000,3.7,10.0,Superb,10.0,10.0,10.0,10.0,10.0,10.0,10.0,135.52695500000002,34.6800923
112,Guesthouse SAI,Osaka,1800,7.0,8.9,Fabulous,7.6,10.0,9.6,7.6,9.2,9.2,9.2,135.5661389,34.7412826
113,Guesthouse Sensu,Tokyo,3300,15.7,9.3,Superb,8.0,10.0,9.5,9.0,9.0,10.0,9.5,139.7405231,35.553499
114,Guesthouse Shitamachi-Kujo,Kyoto,1900,3.9,9.1,Superb,10.0,10.0,8.0,8.0,10.0,10.0,8.0,135.76216599999998,34.977078999999996
115,Guesthouse Soi,Kyoto,1700,2.4,9.5,Superb,9.4,9.6,9.6,8.8,9.4,9.8,9.8,135.77761030000002,34.9917216
116,Guesthouse U-En,Osaka,2300,1.9,9.5,Superb,9.3,9.6,9.3,9.4,9.4,9.8,9.5,135.4865055,34.6946473
117,Harborside Guest House MINATO,Fukuoka-City,2500,1.5,8.4,Fabulous,7.5,9.0,8.5,7.0,9.5,9.0,8.5,130.406397,33.603186
118,HARUYA Hostels Aqua,Kyoto,1500,3.1,9.0,Superb,9.0,9.0,9.0,9.0,9.0,9.0,9.0,135.748695,34.988516
119,HATAGO tenjin,Fukuoka-City,2300,0.6,8.4,Fabulous,8.7,8.7,8.7,10.0,7.3,7.3,8.0,130.3976545,33.5946282
120,Hikari House,Tokyo,4000,1.4,7.6,Very Good,6.3,8.0,6.8,9.4,6.9,8.6,7.6,139.7019965,35.699136700000004
121,Hiromas Hostel in Akiba,Tokyo,2700,7.3,9.2,Superb,8.7,9.6,9.2,9.1,9.1,9.4,9.6,139.7702062,35.704546
122,Hiromas Hostel in Kanda,Tokyo,2000,7.6,9.3,Superb,8.4,9.8,9.5,9.1,9.2,9.4,9.3,139.7763124,35.6928219
123,Hiromas Inn  Chitose-Karasuyama,Tokyo,3000,0.0,7.5,Very Good,7.1,9.1,7.4,7.4,6.3,6.9,8.3,139.60332140000003,35.6711619
124,Hiroshima Hana Hostel,Hiroshima,2300,2.4,9.0,Superb,8.1,9.3,8.8,9.4,8.9,9.5,9.0,132.47876499999998,34.395097
125,Hiroshima Hostel EN,Hiroshima,3000,2.6,9.6,Superb,9.8,9.7,9.3,9.3,9.3,9.8,9.7,132.450789,34.408
128,Homeikan,Tokyo,3600,6.3,9.3,Superb,9.1,9.4,9.1,9.1,9.1,10.0,9.1,139.75625,35.711231
129,Hop Step Inn,Tokyo,1500,8.5,9.1,Superb,8.5,9.6,9.3,8.3,9.6,9.4,9.2,139.7382791,35.7560182
130,Hostel & Cafe Bar Backpackers Miyajima,Hiroshima,2900,16.1,9.2,Superb,9.2,9.3,9.0,9.2,9.1,9.6,8.9,132.3046213,34.3101872
131,Hostel 64 Osaka,Osaka,2700,3.4,8.6,Fabulous,8.2,8.6,8.2,8.1,9.1,9.0,8.6,135.4883418,34.6780282
132,Hostel bedgasm,Tokyo,2900,9.5,9.6,Superb,9.6,9.8,9.6,9.1,9.5,9.9,9.7,139.78903300000002,35.72135
133,Hostel Bushi,Osaka,1900,3.4,8.8,Fabulous,8.5,8.8,8.9,8.6,8.8,9.2,8.9,135.5374497,34.6979324
134,Hostel Chapter Two Tokyo,Tokyo,2700,9.8,10.0,Superb,10.0,10.0,10.0,10.0,10.0,10.0,10.0,139.797217,35.709305
136,hostel DEN,Tokyo,2400,7.7,9.4,Superb,9.1,9.7,9.3,9.0,9.7,9.7,9.4,139.7766966,35.6910315
137,Hostel Ebi,Kyoto,2500,1.0,9.7,Superb,9.4,9.9,9.5,9.8,9.7,9.8,9.6,135.760511,35.00505820000001
138,Hostel Ebisutei Souzou with Sake Bar,Osaka,2400,5.6,9.2,Superb,9.7,9.0,9.0,9.5,8.3,9.6,9.4,135.5052993,34.6560531
139,Hostel Enisia Namba,Osaka,3000,4.3,9.3,Superb,8.7,9.2,9.3,10.0,9.5,9.3,9.2,135.503292,34.6681
140,Hostel Ginkakuji,Kyoto,1300,2.7,4.9,Rating,2.0,10.0,6.0,6.0,2.0,2.0,6.0,135.79122900000002,35.027017
142,Hostel HARUYA Kyoto,Kyoto,1500,1.0,9.6,Superb,8.0,10.0,10.0,10.0,10.0,10.0,9.0,135.778964,35.008755
143,HOSTEL HYAKU,Osaka,2700,4.4,9.5,Superb,8.9,10.0,9.4,9.3,9.7,9.7,9.5,135.5109784,34.6676664
144,Hostel J Culture 168,Osaka,3000,5.3,7.5,Very Good,6.7,7.3,8.7,7.3,8.0,9.3,5.3,138.252924,36.204824
145,Hostel Jin,Osaka,2500,4.3,9.6,Superb,8.8,10.0,9.8,8.8,9.8,9.8,10.0,135.4661493,34.6810161
146,Hostel Kyoto Kizuna,Kyoto,1800,2.1,9.4,Superb,8.6,9.9,9.5,9.2,9.6,9.6,9.6,135.7626527,34.9936138
147,Hostel LnK (Lodging & Kin),Osaka,3300,5.6,9.5,Superb,9.2,10.0,9.3,9.5,9.3,9.5,9.5,135.502521,34.656382
148,Hostel Mallika,Hiroshima,2500,0.7,9.3,Superb,8.5,9.5,9.2,9.7,9.4,9.6,9.3,132.4499424,34.389848
149,Hostel Mitsuwaya Osaka,Osaka,3200,4.1,9.6,Superb,9.4,10.0,9.7,9.1,9.7,9.9,9.6,135.51337900000001,34.670596
150,Hostel moku-moku,Osaka,3500,4.0,9.6,Superb,9.0,10.0,10.0,9.5,10.0,9.5,9.5,135.516458,34.74071
151,Hostel Mundo,Kyoto,1400,2.1,8.4,Fabulous,8.0,8.6,8.0,8.0,8.7,8.9,8.8,135.74794609999998,35.0204264
152,Hostel Mundo Chiquito,Kyoto,1400,1.4,9.5,Superb,9.0,9.8,9.3,9.0,9.8,10.0,9.8,135.75333899999998,35.015514
154,Hostel Pumpkey Tokyo,Tokyo,3400,2.3,8.7,Fabulous,8.3,9.0,8.5,9.0,8.7,9.0,8.3,139.716957,35.686319
155,Hostel Q,Osaka,2900,4.2,8.7,Fabulous,9.0,7.3,8.0,9.7,9.0,9.3,8.3,135.4986093,34.6692633
156,Hostel Rakutsuki,Osaka,1900,4.7,9.5,Superb,9.3,9.5,8.7,9.8,9.8,9.8,9.8,135.5062517,34.6647159
158,Hostel Teltel Bouzu,Osaka,2500,3.8,9.0,Superb,9.0,9.0,9.0,8.3,9.3,9.3,9.0,135.5091721,34.6734621
160,Hostel WAQWAQ Tokyo Ueno Asakusa,Tokyo,1600,9.0,8.9,Fabulous,8.9,9.6,9.0,8.4,8.5,9.0,8.7,139.785178,35.717633
161,HOSTEL WASABI Kyoto Machiya Soba,Kyoto,2000,2.3,9.1,Superb,8.9,9.8,9.1,7.9,9.0,9.2,9.4,135.7481084,35.0249099
162,HOSTEL WASABI Osaka Bed with Library,Osaka,1500,4.5,8.8,Fabulous,8.1,9.1,8.7,9.5,8.2,9.2,9.0,135.503826,34.666552
163,Hostel＆Café East57 Asakusabashi,Tokyo,2200,8.7,8.7,Fabulous,7.8,9.3,7.8,9.1,9.0,9.1,8.6,139.78765090000002,35.696757899999994
164,Hotel Cargo Shinsaibashi,Osaka,4200,3.2,9.3,Superb,8.4,9.6,8.8,8.8,9.6,10.0,9.6,135.50356299999999,34.678242
165,Hotel Chuo,Osaka,1500,6.4,6.4,Good,6.0,6.0,6.0,8.0,5.0,7.0,7.0,135.5046082,34.6490104
166,Hotel Graphy Nezu,Tokyo,1800,7.6,8.9,Fabulous,8.5,9.1,9.2,8.5,9.3,9.3,8.8,139.768667,35.717269
169,Hotel Raizan South,Osaka,2000,6.5,8.1,Fabulous,7.0,7.0,9.0,9.0,8.0,8.0,9.0,135.504278,34.648413
170,Hotel Shin-Imamiya,Osaka,1400,6.3,6.6,Good,4.8,7.3,6.0,7.8,8.3,6.3,5.8,135.50154780000003,34.649793100000004
172,Hotel Taiyo,Osaka,1500,6.5,8.1,Fabulous,7.3,8.0,8.0,8.7,8.7,8.0,8.0,135.50477180000001,34.6483624
173,Hotel Wako,Osaka,1600,6.8,6.0,Good,4.0,4.0,6.0,6.0,8.0,6.0,8.0,135.5018819,34.6459573
174,Hotel&Hostel On the Marks Tokyo Kawasaki,Tokyo,1900,18.1,9.6,Superb,9.6,10.0,9.6,8.7,9.9,9.9,9.6,139.69858080000003,35.52699260000001
175,Idocoro,Osaka,1800,2.2,8.2,Fabulous,7.1,8.9,8.0,7.6,8.8,8.7,8.2,135.5086675,34.687330200000005
176,Ikidane House,Tokyo,2000,8.2,9.1,Superb,8.0,9.6,8.8,9.2,9.2,9.6,9.2,139.7604533,35.7373998
177,Ikidane House Asakusa Hatago,Tokyo,2000,10.0,8.9,Fabulous,10.0,10.0,10.0,4.0,10.0,8.0,10.0,139.7950489,35.722089000000004
178,Ikidane House Namba,Osaka,1200,6.5,9.3,Superb,8.9,9.6,9.7,8.8,8.9,9.6,9.6,135.5019794,34.6479104
179,Ikoi-no-Ie Kyoto,Kyoto,2700,2.2,8.0,Fabulous,6.0,8.8,8.0,8.0,9.2,8.4,7.6,135.757046,34.994033
180,iloha Hostel Namba Shinsaibashi,Osaka,2600,3.7,9.2,Superb,8.7,9.6,9.2,9.6,9.2,8.5,9.4,135.503048,34.673766
182,Imano Kyoto Kiyomizu Hostel,Kyoto,2200,1.9,9.2,Superb,8.6,9.8,9.3,9.1,9.4,9.2,9.3,135.776144,34.995591999999995
183,Imano Tokyo Ginza Hostel,Tokyo,2700,7.6,8.9,Fabulous,8.3,9.3,8.9,8.8,9.3,9.2,8.7,139.77290569999997,35.6723059
184,Imano Tokyo Hostel,Tokyo,3300,1.5,8.6,Fabulous,7.7,8.9,8.1,9.3,8.6,9.2,8.1,139.7077128,35.6935053
185,IRORI Nihonbashi Hostel and Kitchen,Tokyo,2100,8.3,9.0,Superb,8.9,8.9,8.9,9.0,9.2,9.3,8.8,139.7836767,35.692653799999995
186,Iza Tokyo Asakusa Guesthouse,Tokyo,2500,9.9,9.3,Superb,9.3,9.3,9.2,9.4,9.2,9.6,9.2,139.799302,35.706708
187,J-Hoppers Hiroshima Guesthouse,Hiroshima,2300,1.1,9.1,Superb,8.5,9.3,9.0,9.3,9.3,9.4,9.2,132.44724440000002,34.393020799999995
188,J-Hoppers Kyoto Guest House,Kyoto,1900,3.6,9.0,Superb,8.4,9.1,8.3,8.9,9.4,9.7,9.3,135.761616,34.979439
189,J-Hoppers Osaka Guesthouse,Osaka,2300,1.9,9.5,Superb,9.5,9.6,9.2,9.5,9.6,9.7,9.6,135.48486100000002,34.697435
190,J-Hoppers Osaka Universal,Osaka,2500,6.4,9.4,Superb,9.3,9.7,9.2,8.7,9.7,10.0,9.5,135.442876,34.675236
191,J's Backpackers,Tokyo,1600,16.6,8.3,Fabulous,8.0,10.0,8.0,4.0,10.0,8.0,10.0,139.8623809,35.745044
192,Jam Hostel Kyoto Gion,Kyoto,1500,0.9,7.7,Very Good,7.0,8.0,7.0,9.4,8.0,6.9,7.9,135.772379,35.004919
193,Japanize Guest House,Tokyo,1900,8.1,7.6,Very Good,7.0,6.0,7.7,8.7,7.7,8.0,8.3,139.7816602,35.6925343
194,JGH Tokyo,Tokyo,1600,13.2,8.4,Fabulous,8.1,8.0,8.1,7.1,8.8,9.8,8.9,139.708425,35.807266399999996
195,Jimbocho Sakura Hotel,Tokyo,2200,5.9,9.4,Superb,9.0,9.5,10.0,9.0,9.0,9.5,10.0,139.75645500000002,35.694959000000004
196,Jiyujin,Kyoto,2600,2.0,9.7,Superb,9.0,10.0,9.8,9.5,10.0,9.7,9.7,135.76116000000002,34.9949965
197,Juyoh Hotel,Tokyo,2900,10.7,8.3,Fabulous,7.6,8.4,8.4,7.1,8.9,8.9,8.7,139.8007803,35.726710600000004
198,Kaisu Hostel,Tokyo,3900,4.4,9.4,Superb,9.1,9.7,9.3,9.3,9.6,9.5,9.2,139.73453700000002,35.669916
199,"Kaneyoshi Ryokan, Namba Dotombori",Osaka,6500,4.2,9.4,Superb,10.0,9.0,9.0,10.0,9.0,10.0,9.0,135.505474,34.669259999999994
202,Khaosan Tokyo Kabuki,Tokyo,3000,9.7,9.2,Superb,8.8,8.8,8.8,9.8,9.5,9.5,9.0,139.795251,35.711436
203,Khaosan Tokyo Laboratory,Tokyo,2600,9.3,9.1,Superb,7.9,9.3,8.8,9.3,9.4,9.7,9.3,139.791328,35.711861
204,Khaosan Tokyo Origami,Tokyo,2500,10.0,9.5,Superb,8.9,9.7,9.6,9.4,9.7,9.7,9.4,139.797381,35.71634
205,Khaosan Tokyo Samurai,Tokyo,2500,9.5,9.2,Superb,8.0,9.3,9.3,9.4,9.5,9.4,9.4,139.792325,35.714887
206,Khaosan World Asakusa RYOKAN & HOSTEL,Tokyo,2500,9.5,8.8,Fabulous,8.5,8.7,8.5,8.9,9.0,9.2,8.6,139.79177099999998,35.714595
